RA,IAA,IEG,IPS,math,portuguese,lag,IAA__minus_1,IEG__minus_1,IPS__minus_1,math__minus_1,portuguese__minus_1,lag__minus_1,IAA__minus_2,IEG__minus_2,IPS__minus_2,math__minus_2,portuguese__minus_2,lag__minus_2,years
RA-1,"8,3","4,1","5,6","2,7","3,5",-1,,,,,,,,,,,,,1
RA-2,"8,8","5,2","6,3","6,3","4,5",0,,,,,,,,,,,,,1
RA-3,"0,0","7,9","5,6","5,8","4,0",0,,,,,,,,,,,,,1
RA-4,"8,8","4,5","5,6","2,8","3,5",0,,,,,,,,,,,,,1
RA-5,"7,9","8,6","5,6","7,0","2,9",0,,,,,,,,,,,,,1
RA-6,"7,9","4,5","7,5","2,3","5,3",-1,,,,,,,,,,,,,1
RA-7,"0,0","8,4","7,5","8,2","5,7",-1,,,,,,,,,,,,,1
RA-8,"7,1","4,6","6,3","1,2","0,7",-1,,,,,,,,,,,,,1
RA-9,"8,8","9,5","7,5","5,5","6,0",-1,,,,,,,,,,,,,1
RA-10,"8,3","5,2","5,0","3,3","2,6",-1,,,,,,,,,,,,,1
RA-11,"9,2","4,2","5,0","1,8","2,5",-1,,,,,,,,,,,,,1
RA-12,"0,0","4,0","6,9","2,7","1,1",0,,,,,,,,,,,,,1
RA-13,"7,9","7,4","7,5","3,5","5,5",-1,,,,,,,,,,,,,1
RA-14,"7,9","8,3","7,5","8,0","0,0",-1,,,,,,,,,,,,,1
RA-15,"8,8","10,0","7,5","8,0","6,5",-1,,,,,,,,,,,,,1
RA-16,"7,9","8,3","5,0","7,0","0,0",-1,,,,,,,,,,,,,1
RA-17,"8,8","10,0","7,5","9,0","6,5",-1,,,,,,,,,,,,,1
RA-18,"6,3","8,7","6,3","9,0","9,0",-1,,,,,,,,,,,,,1
RA-19,"7,9","9,4","5,63","7,7","7,0",-1,"7,9","9,5","7,5","7,0","9,0",-1.0,,,,,,,2
RA-20,"7,1","10,0","6,3","9,0","6,5",-1,,,,,,,,,,,,,1
RA-21,"9,6","9,2","7,5","7,0","0,5",-1,,,,,,,,,,,,,1
RA-22,"8,3","7,4","8,1","9,0","3,1",-1,,,,,,,,,,,,,1
RA-23,"8,3","8,2","8,1","7,2","4,7",-1,,,,,,,,,,,,,1
RA-24,"9,2","7,9","6,9","10,0","6,3",-1,,,,,,,,,,,,,1
RA-25,"8,3","8,3","8,8","9,2","3,8",-1,,,,,,,,,,,,,1
RA-26,"9,6","8,8","10,0","9,5","4,4",-1,,,,,,,,,,,,,1
RA-27,"6,7","7,7","6,89","7,0","5,8",0,"0,0","7,6","8,1","7,7","6,3",-1.0,,,,,,,2
RA-28,"7,9","6,1","7,5","8,2","1,5",-1,,,,,,,,,,,,,1
RA-29,"0,0","4,0","8,8","6,3","1,1",-1,,,,,,,,,,,,,1
RA-30,"8,8","6,4","7,5","8,5","4,4",0,,,,,,,,,,,,,1
RA-31,"10,0","9,5","9,4","9,0","5,7",-1,,,,,,,,,,,,,1
