RA,IAA,IEG,IPS,math,portuguese,lag,year
RA-1,"8,3","4,1","5,6","2,7","3,5",-1,2022
RA-2,"8,8","5,2","6,3","6,3","4,5",0,2022
RA-3,"0,0","7,9","5,6","5,8","4,0",0,2022
RA-4,"8,8","4,5","5,6","2,8","3,5",0,2022
RA-5,"7,9","8,6","5,6","7,0","2,9",0,2022
RA-6,"7,9","4,5","7,5","2,3","5,3",-1,2022
RA-7,"0,0","8,4","7,5","8,2","5,7",-1,2022
RA-8,"7,1","4,6","6,3","1,2","0,7",-1,2022
RA-9,"8,8","9,5","7,5","5,5","6,0",-1,2022
RA-10,"8,3","5,2","5,0","3,3","2,6",-1,2022
RA-11,"9,2","4,2","5,0","1,8","2,5",-1,2022
RA-12,"0,0","4,0","6,9","2,7","1,1",0,2022
RA-13,"7,9","7,4","7,5","3,5","5,5",-1,2022
RA-14,"7,9","8,3","7,5","8,0","0,0",-1,2022
RA-15,"8,8","10,0","7,5","8,0","6,5",-1,2022
RA-16,"7,9","8,3","5,0","7,0","0,0",-1,2022
RA-17,"8,8","10,0","7,5","9,0","6,5",-1,2022
RA-18,"6,3","8,7","6,3","9,0","9,0",-1,2022
RA-19,"7,9","9,5","7,5","7,0","9,0",-1,2022
RA-20,"7,1","10,0","6,3","9,0","6,5",-1,2022
RA-21,"9,6","9,2","7,5","7,0","0,5",-1,2022
RA-22,"8,3","7,4","8,1","9,0","3,1",-1,2022
RA-23,"8,3","8,2","8,1","7,2","4,7",-1,2022
RA-24,"9,2","7,9","6,9","10,0","6,3",-1,2022
RA-25,"8,3","8,3","8,8","9,2","3,8",-1,2022
RA-26,"9,6","8,8","10,0","9,5","4,4",-1,2022
RA-27,"0,0","7,6","8,1","7,7","6,3",-1,2022
RA-28,"7,9","6,1","7,5","8,2","1,5",-1,2022
RA-29,"0,0","4,0","8,8","6,3","1,1",-1,2022
RA-30,"8,8","6,4","7,5","8,5","4,4",0,2022
RA-31,"10,0","9,5","9,4","9,0","5,7",-1,2022
RA-32,"8,8","5,2","8,8","5,7","3,6",0,2022
RA-33,"0,0","4,6","7,5","9,0","1,6",-1,2022
RA-34,"9,6","4,8","8,1","4,7","4,0",-1,2022
RA-35,"10,0","9,6","9,4","9,0","7,1",-1,2022
RA-36,"9,2","9,0","6,9","8,5","4,3",-1,2022
RA-37,"0,0","5,4","5,0","2,3","5,3",-1,2022
RA-38,"9,2","8,9","7,5","9,0","7,0",-1,2022
RA-39,"0,0","4,8","6,9","7,7","5,1",0,2022
RA-40,"7,9","7,8","7,5","4,7","7,3",-1,2022
RA-41,"9,2","6,1","5,0","6,3","2,5",-2,2022
RA-42,"8,3","7,9","5,6","3,7","4,5",0,2022
RA-43,"6,3","6,5","5,6","4,0","5,8",-1,2022
RA-44,"5,0","5,9","7,5","2,3","3,5",-2,2022
RA-45,"7,9","8,9","5,6","6,3","5,2",0,2022
RA-46,"8,8","8,4","6,3","2,8","2,8",-2,2022
RA-47,"7,9","6,3","7,5","2,5","2,2",-2,2022
RA-48,"6,7","8,4","7,5","6,7","8,0",0,2022
RA-49,"7,5","7,4","7,5","1,5","4,2",-2,2022
RA-50,"7,5","8,4","7,5","6,5","7,3",-3,2022
RA-51,"8,8","7,6","7,5","4,5","4,5",-2,2022
RA-52,"9,6","8,9","7,5","3,3","6,3",2,2022
RA-53,"9,2","7,0","7,5","6,0","8,0",-2,2022
RA-54,"7,9","6,9","7,5","3,0","6,5",-1,2022
RA-55,"7,1","7,6","5,6","6,7","7,8",-1,2022
RA-56,"10,0","10,0","7,5","4,5","6,5",0,2022
